rt,trial_type,stimulus,key_press,stimulus_left,stimulus_right,accuracy,stimulus_correct,condition,specific_pairs,city_type,partid,age
321.1,shortestpath_phase,nat_gatlinburg.png,49.0,nat_cornwall.png,mm_carmel.png,0.0,mm_carmel.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
334.2,shortestpath_phase,mm_westpalmbeach.png,50.0,mm_carmel.png,mm_leesburg.png,1.0,mm_leesburg.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
0.200000003,shortestpath_phase,mm_carmel.png,49.0,nat_cornwall.png,nat_hanover.png,0.0,nat_hanover.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
440.9,shortestpath_phase,mm_westpalmbeach.png,49.0,mm_leesburg.png,mm_carmel.png,1.0,mm_leesburg.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
302.2,shortestpath_phase,nat_hanover.png,49.0,nat_gatlinburg.png,mm_carmel.png,0.0,mm_carmel.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
207.9,shortestpath_phase,nat_gatlinburg.png,50.0,nat_cornwall.png,mm_leesburg.png,1.0,mm_leesburg.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
274.8,shortestpath_phase,mm_westpalmbeach.png,49.0,mm_carmel.png,nat_newhope.png,0.0,nat_newhope.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
108.1,shortestpath_phase,mm_leesburg.png,50.0,nat_racine.png,mm_carmel.png,1.0,mm_carmel.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
275.4,shortestpath_phase,nat_gatlinburg.png,50.0,nat_racine.png,mm_westpalmbeach.png,0.0,nat_racine.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
661.4,shortestpath_phase,mm_shreveport.png,50.0,nat_hanover.png,mm_leesburg.png,1.0,mm_leesburg.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
332.5,shortestpath_phase,mm_westpalmbeach.png,50.0,nat_racine.png,mm_hotsprings.png,1.0,mm_hotsprings.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
393.3,shortestpath_phase,mm_carmel.png,49.0,mm_leesburg.png,mm_westpalmbeach.png,1.0,mm_leesburg.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
438.0,shortestpath_phase,nat_hanover.png,49.0,nat_racine.png,mm_shreveport.png,0.0,mm_shreveport.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
769.5,shortestpath_phase,nat_gatlinburg.png,49.0,mm_westpalmbeach.png,mm_leesburg.png,0.0,mm_leesburg.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
1000.5,shortestpath_phase,nat_cornwall.png,50.0,nat_peoria.png,mm_shreveport.png,0.0,nat_peoria.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
290.4,shortestpath_phase,nat_gatlinburg.png,50.0,nat_hanover.png,nat_racine.png,1.0,nat_racine.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
1687.3,shortestpath_phase,nat_cornwall.png,49.0,mm_boulder.png,mm_westpalmbeach.png,0.0,mm_westpalmbeach.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
495.5,shortestpath_phase,nat_racine.png,50.0,nat_huntsville.png,nat_peoria.png,1.0,nat_peoria.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
122.3,shortestpath_phase,nat_cornwall.png,50.0,mm_hotsprings.png,nat_gatlinburg.png,0.0,mm_hotsprings.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
812.1,shortestpath_phase,nat_huntsville.png,49.0,nat_gatlinburg.png,nat_racine.png,1.0,nat_gatlinburg.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
368.0,shortestpath_phase,nat_hanover.png,50.0,nat_gatlinburg.png,mm_westpalmbeach.png,1.0,mm_westpalmbeach.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
20.40000001,shortestpath_phase,mm_carmel.png,50.0,nat_newhope.png,nat_cornwall.png,0.0,nat_newhope.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
414.3,shortestpath_phase,nat_gatlinburg.png,49.0,nat_hanover.png,nat_cornwall.png,1.0,nat_hanover.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
1239.7,shortestpath_phase,nat_cornwall.png,50.0,mm_carmel.png,nat_racine.png,0.0,mm_carmel.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
529.4,shortestpath_phase,mm_leesburg.png,50.0,nat_racine.png,mm_westpalmbeach.png,1.0,mm_westpalmbeach.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
241.9,shortestpath_phase,nat_gatlinburg.png,50.0,mm_westpalmbeach.png,nat_huntsville.png,1.0,nat_huntsville.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
226.5,shortestpath_phase,mm_westpalmbeach.png,50.0,nat_racine.png,nat_peoria.png,1.0,nat_peoria.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
233.2,shortestpath_phase,mm_hotsprings.png,50.0,nat_peoria.png,nat_racine.png,1.0,nat_racine.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
2488.399999976158,shortestpath_phase,nat_newhope.png,49.0,mm_huntsville.png,nat_hotsprings.png,0.0,nat_hotsprings.png,Two Edge Diff,Two Edge Four Edge,US,634ef87aec0966557c825573,young
1796.0,shortestpath_phase,mm_boulder.png,49.0,nat_gatlinburg.png,nat_carmel.png,1.0,nat_gatlinburg.png,One Edge Diff,Four Edge Five Edge,US,634ef87aec0966557c825573,young
2492.399999976158,shortestpath_phase,nat_hotsprings.png,50.0,mm_hanover.png,nat_carmel.png,1.0,nat_carmel.png,One Edge Diff,Four Edge Five Edge,US,634ef87aec0966557c825573,young
1273.6999999284744,shortestpath_phase,nat_gatlinburg.png,50.0,mm_leesburg.png,mm_boulder.png,0.0,mm_leesburg.png,Two Edge Diff,Two Edge Four Edge,US,634ef87aec0966557c825573,young
1517.0,shortestpath_phase,nat_westpalmbeach.png,49.0,nat_racine.png,nat_hotsprings.png,1.0,nat_racine.png,One Edge Diff,Four Edge Five Edge,US,634ef87aec0966557c825573,young
1144.6999999284744,shortestpath_phase,nat_gatlinburg.png,50.0,nat_carmel.png,mm_boulder.png,0.0,nat_carmel.png,Two Edge Diff,Two Edge Four Edge,US,634ef87aec0966557c825573,young
2074.3000000715256,shortestpath_phase,nat_racine.png,50.0,mm_leesburg.png,nat_gatlinburg.png,0.0,mm_leesburg.png,One Edge Diff,Two Edge Three Edge,US,634ef87aec0966557c825573,young
2483.399999976158,shortestpath_phase,nat_carmel.png,50.0,mm_boulder.png,nat_gatlinburg.png,1.0,nat_gatlinburg.png,Three Edge Diff,Three Edge Six Edge,US,634ef87aec0966557c825573,young
1451.2000000476835,shortestpath_phase,nat_newhope.png,49.0,mm_hanover.png,nat_hotsprings.png,0.0,nat_hotsprings.png,Three Edge Diff,Three Edge Six Edge,US,634ef87aec0966557c825573,young
1642.1999999284744,shortestpath_phase,mm_peoria.png,49.0,nat_gatlinburg.png,nat_newhope.png,1.0,nat_gatlinburg.png,One Edge Diff,Two Edge Three Edge,US,634ef87aec0966557c825573,young
1772.0,shortestpath_phase,nat_westpalmbeach.png,50.0,mm_boulder.png,nat_shreveport.png,1.0,nat_shreveport.png,Two Edge Diff,Four Edge Six Edge,US,634ef87aec0966557c825573,young
