rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
2186.0999999940395,,shortestpath_phase,1547129,,,../static/images/US_Cities_List/shreveport.png,,,,,50,../static/images/US_Cities_List/hotsprings.png,../static/images/US_Cities_List/boulder.png,0,0.43243243243243246,,,,../static/images/US_Cities_List/hotsprings.png,,,,,One Edge Diff,Five Edge Six Edge,,,,,,
null,,html-keyboard-response,1548134,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1157.5999999940395,,shortestpath_phase,1549316,,,../static/images/US_Cities_List/gatlinburg.png,,,,,50,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/carmel.png,0,0.42105263157894735,,,,../static/images/US_Cities_List/peoria.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,1550323,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1746.5,,shortestpath_phase,1552095,,,../static/images/US_Cities_List/shreveport.png,,,,,49,../static/images/US_Cities_List/gatlinburg.png,../static/images/US_Cities_List/newhope.png,0,0.41025641025641024,,,,../static/images/US_Cities_List/newhope.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,
null,,html-keyboard-response,1553102,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
914.3999999761581,,shortestpath_phase,1554041,,,../static/images/US_Cities_List/gatlinburg.png,,,,,49,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/racine.png,0,0.4,,,,../static/images/US_Cities_List/racine.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,
null,,html-keyboard-response,1555047,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2870.7999999821186,,shortestpath_phase,1557945,,,../static/images/US_Cities_List/newhope.png,,,,,49,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/racine.png,1,0.4146341463414634,,,,../static/images/US_Cities_List/westpalmbeach.png,,,,,Two Edge Diff,Two Edge Four Edge,,,,,,
null,,html-keyboard-response,1558952,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1783.4000000059605,,shortestpath_phase,1560767,,,../static/images/US_Cities_List/cornwall.png,,,,,50,../static/images/US_Cities_List/racine.png,../static/images/US_Cities_List/gatlinburg.png,0,0.40476190476190477,,,,../static/images/US_Cities_List/racine.png,,,,,One Edge Diff,Four Edge Five Edge,,,,,,
null,,html-keyboard-response,1561772,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2112.4000000059605,,shortestpath_phase,1563902,,,../static/images/US_Cities_List/boulder.png,,,,,50,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/huntsville.png,1,0.4186046511627907,,,,../static/images/US_Cities_List/huntsville.png,,,,,Two Edge Diff,Four Edge Six Edge,,,,,,
null,,html-keyboard-response,1564908,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
4052,,shortestpath_phase,1568989,,,../static/images/US_Cities_List/racine.png,,,,,49,../static/images/US_Cities_List/carmel.png,../static/images/US_Cities_List/peoria.png,0,0.4090909090909091,,,,../static/images/US_Cities_List/peoria.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,1569995,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3085.600000023842,,shortestpath_phase,1573107,,,../static/images/US_Cities_List/hotsprings.png,,,,,49,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/carmel.png,1,0.4222222222222222,,,,../static/images/US_Cities_List/westpalmbeach.png,,,,,Two Edge Diff,Two Edge Four Edge,,,,,,
null,,html-keyboard-response,1574115,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2118.100000023842,,shortestpath_phase,1576267,,,../static/images/US_Cities_List/gatlinburg.png,,,,,49,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/carmel.png,0,0.41304347826086957,,,,../static/images/US_Cities_List/carmel.png,,,,,One Edge Diff,Five Edge Six Edge,,,,,,
null,,html-keyboard-response,1577273,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3501.4000000059605,,shortestpath_phase,1580797,,,../static/images/US_Cities_List/shreveport.png,,,,,49,../static/images/US_Cities_List/hanover.png,../static/images/US_Cities_List/hotsprings.png,1,0.425531914893617,,,,../static/images/US_Cities_List/hanover.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,1581802,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2294.5999999940395,,shortestpath_phase,1584118,,,../static/images/US_Cities_List/carmel.png,,,,,50,../static/images/US_Cities_List/huntsville.png,../static/images/US_Cities_List/boulder.png,0,0.4166666666666667,,,,../static/images/US_Cities_List/huntsville.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,
null,,html-keyboard-response,1585124,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2997.100000023842,,shortestpath_phase,1588145,,,../static/images/US_Cities_List/newhope.png,,,,,50,../static/images/US_Cities_List/hanover.png,../static/images/US_Cities_List/boulder.png,0,0.40816326530612246,,,,../static/images/US_Cities_List/hanover.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,1589151,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
