rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
null,,html-keyboard-response,3625096,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2772.2000000029802,,shortestpath_phase,3627889,,,../static/images/US_Cities_List/newhope.png,,,,,49,../static/images/US_Cities_List/huntsville.png,../static/images/US_Cities_List/boulder.png,0.52,1,,,,../static/images/US_Cities_List/huntsville.png,,,,,One Edge Diff,Three Edge Four Edge,,,,,,
null,,html-keyboard-response,3628896,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2663.7999999970198,,shortestpath_phase,3631585,,,../static/images/US_Cities_List/boulder.png,,,,,49,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/westpalmbeach.png,0.5098039215686274,0,,,,../static/images/US_Cities_List/westpalmbeach.png,,,,,One Edge Diff,Five Edge Six Edge,,,,,,
null,,html-keyboard-response,3632589,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1727.699999999255,,shortestpath_phase,3634353,,,../static/images/US_Cities_List/newhope.png,,,,,50,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/cornwall.png,0.5,0,,,,../static/images/US_Cities_List/peoria.png,,,,,One Edge Diff,Two Edge Three Edge,,,,,,
null,,html-keyboard-response,3635359,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2338.5,,shortestpath_phase,3637721,,,../static/images/US_Cities_List/boulder.png,,,,,50,../static/images/US_Cities_List/carmel.png,../static/images/US_Cities_List/gatlinburg.png,0.5094339622641509,1,,,,../static/images/US_Cities_List/gatlinburg.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,
null,,html-keyboard-response,3638728,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2324.800000000745,,shortestpath_phase,3641089,,,../static/images/US_Cities_List/peoria.png,,,,,49,../static/images/US_Cities_List/cornwall.png,../static/images/US_Cities_List/newhope.png,0.5,0,,,,../static/images/US_Cities_List/newhope.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,3642094,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
