rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,rt_plussign_withcolor,1223870,,,blue,,,,,null,US_Cities_List/carmel.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
2054.4000000059605,,rt_thecrossant_black,1225198,,,black_plus_sign,,,,,49,,,0.9902912621359223,1,,,,,,,,,,,,,,,,
null,,color_black,1225300,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1228317,,,black_plus_sign,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1228839,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1229340,,,yellow,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
1795.4000000059605,,rt_thecrossant_black,1230823,,,black_plus_sign,,,,,50,,,0.9903846153846154,1,,,,,,,,,,,,,,,,
null,,color_black,1230925,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1233939,,,black_plus_sign,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1234508,,,blue,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1235010,,,blue,,,,,null,US_Cities_List/newhope.png,US_Cities_List/huntsville.png,,,,,,,,,,,,,,,,,,
1319.5999999940395,,rt_thecrossant_black,1236445,,,black_plus_sign,,,,,49,,,0.9904761904761905,1,,,,,,,,,,,,,,,,
null,,color_black,1236546,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1239567,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1240438,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1240940,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
1421.800000011921,,rt_thecrossant_black,1242072,,,black_plus_sign,,,,,49,,,0.9905660377358491,1,,,,,,,,,,,,,,,,
