rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
1022.4000000003725,,rt_thecrossant_black,702214,,black_plus_sign,,,,,49,,,1,0.9803921568627451,,,,,,,,,,,,,,,,
null,,color_black,702318,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),705331,,black_plus_sign,,,,,null,US_Cities_List/soldier.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),705784,,green,,,,,null,US_Cities_List/soldier.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,706287,,green,,,,,null,US_Cities_List/soldier.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,
794.2999999998137,,rt_thecrossant_black,707840,,black_plus_sign,,,,,50,,,1,0.9807692307692307,,,,,,,,,,,,,,,,
null,,color_black,707944,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),710957,,black_plus_sign,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),711513,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,712016,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
777.5,,rt_thecrossant_black,713467,,black_plus_sign,,,,,49,,,1,0.9811320754716981,,,,,,,,,,,,,,,,
null,,color_black,713570,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),716586,,black_plus_sign,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),717194,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,717697,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
844,,rt_thecrossant_black,719096,,black_plus_sign,,,,,50,,,1,0.9814814814814815,,,,,,,,,,,,,,,,
null,,color_black,719200,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),722212,,black_plus_sign,,,,,null,US_Cities_List/dustpan.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),722768,,blue,,,,,null,US_Cities_List/dustpan.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,723271,,blue,,,,,null,US_Cities_List/dustpan.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,
1082.5999999996275,,rt_thecrossant_black,724721,,black_plus_sign,,,,,49,,,1,0.9818181818181818,,,,,,,,,,,,,,,,
null,,color_black,724824,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),727836,,black_plus_sign,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),728660,,blue,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,729163,,blue,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
701.3999999994412,,rt_thecrossant_black,730347,,black_plus_sign,,,,,49,,,1,0.9821428571428571,,,,,,,,,,,,,,,,
null,,color_black,730451,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),733461,,black_plus_sign,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),734096,,green,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,734599,,green,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
1135,,rt_thecrossant_black,735972,,black_plus_sign,,,,,50,,,1,0.9824561403508771,,,,,,,,,,,,,,,,
null,,color_black,736076,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),739090,,black_plus_sign,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),739803,,blue,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,740307,,blue,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
858.0999999996275,,rt_thecrossant_black,741600,,black_plus_sign,,,,,49,,,1,0.9827586206896551,,,,,,,,,,,,,,,,
null,,color_black,741703,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),744712,,black_plus_sign,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),745611,,blue,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,746114,,blue,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
944.6000000014901,,rt_thecrossant_black,747222,,black_plus_sign,,,,,49,,,1,0.9830508474576272,,,,,,,,,,,,,,,,
null,,color_black,747325,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),750341,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),751127,,green,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,751631,,green,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
1495.7999999988824,,rt_thecrossant_black,752852,,black_plus_sign,,,,,50,,,1,0.9833333333333333,,,,,,,,,,,,,,,,
null,,color_black,752956,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),755967,,black_plus_sign,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),756550,,blue,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,757053,,blue,,,,,null,US_Cities_List/paint.png,US_Cities_List/soldier.png,,,,,,,,,,,,,,,,,,
