rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
null,,rt_plussign_withcolor,675120,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839.8000000000466,,rt_thecrossant_black,676445,,black_plus_sign,,,,,49,,,1,0.9523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,676548,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),679563,,black_plus_sign,,,,,null,US_Cities_List/barrel.png,US_Cities_List/basket.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),680425,,blue,,,,,null,US_Cities_List/barrel.png,US_Cities_List/basket.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,680928,,blue,,,,,null,US_Cities_List/barrel.png,US_Cities_List/basket.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189.6999999999534,,rt_thecrossant_black,682073,,black_plus_sign,,,,,49,,,1,0.9534883720930233,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,682177,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),685191,,black_plus_sign,,,,,null,US_Cities_List/hat.png,US_Cities_List/jukebox.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),686232,,blue,,,,,null,US_Cities_List/hat.png,US_Cities_List/jukebox.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,686735,,blue,,,,,null,US_Cities_List/hat.png,US_Cities_List/jukebox.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133.3000000000466,,rt_thecrossant_black,687701,,black_plus_sign,,,,,49,,,1,0.9545454545454546,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,687805,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),690822,,black_plus_sign,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),691491,,green,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,691994,,green,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376.6999999999534,,rt_thecrossant_black,693333,,black_plus_sign,,,,,50,,,1,0.9555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,
